firstimage,secondimage,rmse,psnr,fsim,ssim,uiq,sam,sre
08_Grayscaled.jpg,05_Flared.jpg,0.01434965,36.86317447,0.726112931,0.852265509,0.700294331,87.62153656,45.75223802
04_Distorted.jpg,08_Grayscaled.jpg,0.014637883,36.69043544,0.468229378,0.821024904,0.289022523,88.22899376,45.40023223
08_Grayscaled.jpg,04_Distorted.jpg,0.014637883,36.69043544,0.468229378,0.821024904,0.289022523,88.22899376,45.64546853
04_Distorted.jpg,11_WithInset.jpg,0.014934558,36.51615146,0.476833697,0.836988859,0.293403502,88.74967251,45.50206416
11_WithInset.jpg,04_Distorted.jpg,0.014934558,36.51615146,0.476833697,0.836988859,0.293403502,88.74967251,45.74720581
05_Flared.jpg,11_WithInset.jpg,0.015072973,36.43602136,0.71468976,0.862513148,0.690707007,88.25350405,42.32099047
11_WithInset.jpg,05_Flared.jpg,0.015072973,36.43602136,0.71468976,0.862513148,0.690707007,88.25350405,45.52055956
02_Blurred.jpg,05_Flared.jpg,0.015114699,36.41201023,0.522410444,0.850523275,0.461644751,88.92994227,46.14382427
05_Flared.jpg,02_Blurred.jpg,0.015114699,36.41201023,0.522410444,0.850523275,0.461644751,88.92994227,42.28147984
06_ColorLevel.jpg,07_Hues.jpg,0.015124205,36.40654806,0.606580766,0.843038785,0.545801637,89.38063143,45.61229014
07_Hues.jpg,06_ColorLevel.jpg,0.015124205,36.40654806,0.606580766,0.843038785,0.545801637,89.38063143,45.67446902
07_Hues.jpg,13_1PixelDiff.jpg,0.016007081,35.91375831,0.602616035,0.830340553,0.536375925,89.39615319,45.33066446
13_1PixelDiff.jpg,07_Hues.jpg,0.016007081,35.91375831,0.602616035,0.830340553,0.536375925,89.39615319,45.42094009
00_Original.jpg,07_Hues.jpg,0.016007764,35.91338638,0.602501477,0.830328869,0.536315983,89.39507507,45.42082743
07_Hues.jpg,00_Original.jpg,0.016007764,35.91338638,0.602501477,0.830328869,0.536315983,89.39507507,45.33045498
07_Hues.jpg,10_Added_Text.jpg,0.016026601,35.90317253,0.602867089,0.827574002,0.524506326,89.39634151,45.31267857
10_Added_Text.jpg,07_Hues.jpg,0.016026601,35.90317253,0.602867089,0.827574002,0.524506326,89.39634151,45.41834547
07_Hues.jpg,14_AddedTextColor.jpg,0.016090255,35.8687425,0.602504982,0.826048595,0.524663662,89.39390787,45.287263
14_AddedTextColor.jpg,07_Hues.jpg,0.016090255,35.8687425,0.602504982,0.826048595,0.524663662,89.39390787,45.38414867
04_Distorted.jpg,05_Flared.jpg,0.016256075,35.77968601,0.465131727,0.822946732,0.261959129,88.23374067,44.92558731
05_Flared.jpg,04_Distorted.jpg,0.016256075,35.77968601,0.465131727,0.822946732,0.261959129,88.23374067,41.97830064
07_Hues.jpg,09_ChangedCenter.jpg,0.016321681,35.74470047,0.598844359,0.826322637,0.525247903,89.39823278,45.21201718
09_ChangedCenter.jpg,07_Hues.jpg,0.016321681,35.74470047,0.598844359,0.826322637,0.525247903,89.39823278,45.3767036
03_Tiled.jpg,07_Hues.jpg,0.016390041,35.70839885,0.58150976,0.820946496,0.449819778,89.36314254,43.94438366
07_Hues.jpg,03_Tiled.jpg,0.016390041,35.70839885,0.58150976,0.820946496,0.449819778,89.36314254,45.21120101
01_ObjectsDiff.jpg,07_Hues.jpg,0.016583545,35.60645345,0.572084839,0.81628847,0.469693721,89.39508898,45.16156591
07_Hues.jpg,01_ObjectsDiff.jpg,0.016583545,35.60645345,0.572084839,0.81628847,0.469693721,89.39508898,45.12065833
02_Blurred.jpg,07_Hues.jpg,0.017203832,35.28749708,0.439494327,0.788464005,0.239376292,89.57421915,45.57042241
07_Hues.jpg,02_Blurred.jpg,0.017203832,35.28749708,0.439494327,0.788464005,0.239376292,89.57421915,44.93952578
07_Hues.jpg,11_WithInset.jpg,0.0173591,35.20945553,0.570550005,0.801598821,0.479763305,89.38905678,44.86939551
11_WithInset.jpg,07_Hues.jpg,0.0173591,35.20945553,0.570550005,0.801598821,0.479763305,89.38905678,44.93315245
03_Tiled.jpg,21_TestImage.jpg,0.01736922,35.2043939,0.369318866,0.77948392,-0.035259965,89.07178077,43.48719856
21_TestImage.jpg,03_Tiled.jpg,0.01736922,35.2043939,0.369318866,0.77948392,-0.035259965,89.07178077,44.25656741
05_Flared.jpg,17_SimilarImage.jpg,0.017650977,35.06462578,0.354215496,0.732534346,0.010984914,87.47365764,41.63924843
17_SimilarImage.jpg,05_Flared.jpg,0.017650977,35.06462578,0.354215496,0.732534346,0.010984914,87.47365764,42.00903374
05_Flared.jpg,21_TestImage.jpg,0.017963173,34.91233829,0.36178503,0.758227464,-0.032912916,88.76680065,41.6083773
21_TestImage.jpg,05_Flared.jpg,0.017963173,34.91233829,0.36178503,0.758227464,-0.032912916,88.76680065,44.01218869
02_Blurred.jpg,21_TestImage.jpg,0.018117625,34.83797315,0.33909741,0.803590485,-0.045388924,89.33765888,45.52450068
21_TestImage.jpg,02_Blurred.jpg,0.018117625,34.83797315,0.33909741,0.803590485,-0.045388924,89.33765888,44.15700964
05_Flared.jpg,18_SimilarImage.jpg,0.018425705,34.69151977,0.342109337,0.720740226,-0.002040925,87.24739704,41.44971882
18_SimilarImage.jpg,05_Flared.jpg,0.018425705,34.69151977,0.342109337,0.720740226,-0.002040925,87.24739704,42.10838677
17_SimilarImage.jpg,21_TestImage.jpg,0.018729208,34.54961065,0.35682122,0.742890175,-0.000402381,88.0201679,41.73987961
21_TestImage.jpg,17_SimilarImage.jpg,0.018729208,34.54961065,0.35682122,0.742890175,-0.000402381,88.0201679,43.76586726
15_SimilarImage.jpg,20_SimilarImage.jpg,0.019140977,34.36071876,0.372851253,0.772959071,0.031945504,89.39821766,45.97019192
20_SimilarImage.jpg,15_SimilarImage.jpg,0.019140977,34.36071876,0.372851253,0.772959071,0.031945504,89.39821766,45.96298875
18_SimilarImage.jpg,21_TestImage.jpg,0.019233167,34.31898359,0.361515063,0.731766237,-0.00043928,87.90407985,41.89324127
21_TestImage.jpg,18_SimilarImage.jpg,0.019233167,34.31898359,0.361515063,0.731766237,-0.00043928,87.90407985,43.65015964
17_SimilarImage.jpg,18_SimilarImage.jpg,0.019261198,34.30633548,0.359783325,0.726469272,0.001424436,86.37556389,41.61401757
18_SimilarImage.jpg,17_SimilarImage.jpg,0.019261198,34.30633548,0.359783325,0.726469272,0.001424436,86.37556389,41.89628798
03_Tiled.jpg,17_SimilarImage.jpg,0.019457648,34.21819214,0.351992141,0.708163611,0.001202694,88.01485036,42.90227164
17_SimilarImage.jpg,03_Tiled.jpg,0.019457648,34.21819214,0.351992141,0.708163611,0.001202694,88.01485036,41.61668357
04_Distorted.jpg,07_Hues.jpg,0.019459851,34.21720985,0.444993323,0.748494495,0.185636285,89.287421,44.14817521
07_Hues.jpg,04_Distorted.jpg,0.019459851,34.21720985,0.444993323,0.748494495,0.185636285,89.287421,44.37531147
07_Hues.jpg,08_Grayscaled.jpg,0.019561598,34.17191271,0.566958725,0.744884778,0.421128903,89.09784145,44.42606913
08_Grayscaled.jpg,07_Hues.jpg,0.019561598,34.17191271,0.566958725,0.744884778,0.421128903,89.09784145,44.80754536
02_Blurred.jpg,15_SimilarImage.jpg,0.019566776,34.16961435,0.345367769,0.787699073,-0.007078954,89.44535569,45.2514716
15_SimilarImage.jpg,02_Blurred.jpg,0.019566776,34.16961435,0.345367769,0.787699073,-0.007078954,89.44535569,45.95325754
05_Flared.jpg,07_Hues.jpg,0.019723713,34.10022501,0.572973013,0.775280591,0.429676053,89.12252674,41.31183903
07_Hues.jpg,05_Flared.jpg,0.019723713,34.10022501,0.572973013,0.775280591,0.429676053,89.12252674,44.33527286
03_Tiled.jpg,18_SimilarImage.jpg,0.019734532,34.09546379,0.350754899,0.699458671,-0.006360424,87.87730843,42.85017528
18_SimilarImage.jpg,03_Tiled.jpg,0.019734532,34.09546379,0.350754899,0.699458671,-0.006360424,87.87730843,41.85675405
16_SimilarImage.jpg,20_SimilarImage.jpg,0.020357456,33.82553104,0.354180075,0.763742214,0.058212281,89.38562886,45.98863942
20_SimilarImage.jpg,16_SimilarImage.jpg,0.020357456,33.82553104,0.354180075,0.763742214,0.058212281,89.38562886,45.67118643
08_Grayscaled.jpg,21_TestImage.jpg,0.020399963,33.80741123,0.374252194,0.744117661,-0.033973998,88.84323573,44.20747504
21_TestImage.jpg,08_Grayscaled.jpg,0.020399963,33.80741123,0.374252194,0.744117661,-0.033973998,88.84323573,43.50541421
12_Rotated.jpg,21_TestImage.jpg,0.020482302,33.77242569,0.379992459,0.719788514,-0.007446054,89.17061195,44.17654644
21_TestImage.jpg,12_Rotated.jpg,0.020482302,33.77242569,0.379992459,0.719788514,-0.007446054,89.17061195,43.55589992
04_Distorted.jpg,21_TestImage.jpg,0.02060868,33.71899608,0.376545242,0.723960867,-0.019192213,88.93422193,44.06346203
21_TestImage.jpg,04_Distorted.jpg,0.02060868,33.71899608,0.376545242,0.723960867,-0.019192213,88.93422193,43.56215799
02_Blurred.jpg,20_SimilarImage.jpg,0.020657979,33.69824413,0.362559559,0.782488108,0.007359024,89.47771929,45.09807899
20_SimilarImage.jpg,02_Blurred.jpg,0.020657979,33.69824413,0.362559559,0.782488108,0.007359024,89.47771929,45.80940924
11_WithInset.jpg,21_TestImage.jpg,0.020688647,33.68535761,0.380538598,0.718555244,-0.028888059,89.13664951,44.28839372
21_TestImage.jpg,11_WithInset.jpg,0.020688647,33.68535761,0.380538598,0.718555244,-0.028888059,89.13664951,43.55307175
01_ObjectsDiff.jpg,21_TestImage.jpg,0.020729449,33.6682463,0.368733223,0.717681142,-0.027591429,89.14565569,44.20366046
21_TestImage.jpg,01_ObjectsDiff.jpg,0.020729449,33.6682463,0.368733223,0.717681142,-0.027591429,89.14565569,43.5735726
10_Added_Text.jpg,21_TestImage.jpg,0.020747131,33.66083864,0.372071694,0.718138096,-0.033475021,89.149241,44.21824163
21_TestImage.jpg,10_Added_Text.jpg,0.020747131,33.66083864,0.372071694,0.718138096,-0.033475021,89.149241,43.56392091
14_AddedTextColor.jpg,21_TestImage.jpg,0.020747606,33.66064075,0.372297973,0.718276625,-0.033844185,89.15121798,44.21042761
21_TestImage.jpg,14_AddedTextColor.jpg,0.020747606,33.66064075,0.372297973,0.718276625,-0.033844185,89.15121798,43.56349045
13_1PixelDiff.jpg,21_TestImage.jpg,0.020779639,33.64724163,0.37129121,0.716131193,-0.033866304,89.14778331,44.19087945
21_TestImage.jpg,13_1PixelDiff.jpg,0.020779639,33.64724163,0.37129121,0.716131193,-0.033866304,89.14778331,43.56051305
00_Original.jpg,21_TestImage.jpg,0.020780334,33.64695076,0.371399131,0.716133098,-0.033827524,89.15059769,44.19087944
21_TestImage.jpg,00_Original.jpg,0.020780334,33.64695076,0.371399131,0.716133098,-0.033827524,89.15059769,43.5602218
15_SimilarImage.jpg,21_TestImage.jpg,0.020811386,33.63398079,0.353435576,0.760518311,-0.005505734,89.26954125,45.67334413
21_TestImage.jpg,15_SimilarImage.jpg,0.020811386,33.63398079,0.353435576,0.760518311,-0.005505734,89.26954125,43.61527919
06_ColorLevel.jpg,21_TestImage.jpg,0.021194866,33.47538713,0.374944059,0.710713832,-0.032973647,89.14758338,43.99814681
21_TestImage.jpg,06_ColorLevel.jpg,0.021194866,33.47538713,0.374944059,0.710713832,-0.032973647,89.14758338,43.53113242
09_ChangedCenter.jpg,21_TestImage.jpg,0.021264911,33.44672922,0.372084313,0.711659683,-0.035183311,89.14965007,44.18832973
21_TestImage.jpg,09_ChangedCenter.jpg,0.021264911,33.44672922,0.372084313,0.711659683,-0.035183311,89.14965007,43.45999521
20_SimilarImage.jpg,21_TestImage.jpg,0.021295315,33.43431953,0.353187038,0.7592256,-0.030777927,89.29963341,45.49864782
21_TestImage.jpg,20_SimilarImage.jpg,0.021295315,33.43431953,0.353187038,0.7592256,-0.030777927,89.29963341,43.38398657
02_Blurred.jpg,12_Rotated.jpg,0.021374881,33.4019256,0.345543079,0.714593111,0.006927418,89.40100597,45.07246543
12_Rotated.jpg,02_Blurred.jpg,0.021374881,33.4019256,0.345543079,0.714593111,0.006927418,89.40100597,44.35601614
03_Tiled.jpg,12_Rotated.jpg,0.021506017,33.34880117,0.389937614,0.690738906,0.020749206,89.17538054,42.73380608
12_Rotated.jpg,03_Tiled.jpg,0.021506017,33.34880117,0.389937614,0.690738906,0.020749206,89.17538054,44.16406995
08_Grayscaled.jpg,15_SimilarImage.jpg,0.02191487,33.18522218,0.35502185,0.721280781,-0.007713766,89.06569678,43.89522404
15_SimilarImage.jpg,08_Grayscaled.jpg,0.02191487,33.18522218,0.35502185,0.721280781,-0.007713766,89.06569678,45.36360487
02_Blurred.jpg,17_SimilarImage.jpg,0.021951163,33.17085031,0.327751346,0.694576532,-6.73E-05,88.53065111,44.54309485
17_SimilarImage.jpg,02_Blurred.jpg,0.021951163,33.17085031,0.327751346,0.694576532,-6.73E-05,88.53065111,41.08724423
02_Blurred.jpg,18_SimilarImage.jpg,0.021966094,33.1649423,0.326604184,0.688122023,-0.008917805,88.3891695,44.55803112
18_SimilarImage.jpg,02_Blurred.jpg,0.021966094,33.1649423,0.326604184,0.688122023,-0.008917805,88.3891695,41.39516074
15_SimilarImage.jpg,16_SimilarImage.jpg,0.021992937,33.15433506,0.343187209,0.743062826,0.024190139,89.38985487,45.39172925
16_SimilarImage.jpg,15_SimilarImage.jpg,0.021992937,33.15433506,0.343187209,0.743062826,0.024190139,89.38985487,45.70315648
03_Tiled.jpg,15_SimilarImage.jpg,0.022081593,33.11939005,0.350368858,0.725565436,-0.00660767,89.23712849,42.58620475
15_SimilarImage.jpg,03_Tiled.jpg,0.022081593,33.11939005,0.350368858,0.725565436,-0.00660767,89.23712849,45.4446337
05_Flared.jpg,12_Rotated.jpg,0.022215074,33.06704525,0.376481543,0.668055671,0.015249768,88.91624964,40.73433361
12_Rotated.jpg,05_Flared.jpg,0.022215074,33.06704525,0.376481543,0.668055671,0.015249768,88.91624964,43.82081852
03_Tiled.jpg,20_SimilarImage.jpg,0.022698084,32.88021568,0.354782297,0.728688273,0.006924155,89.26463971,42.4309064
20_SimilarImage.jpg,03_Tiled.jpg,0.022698084,32.88021568,0.354782297,0.728688273,0.006924155,89.26463971,45.32488091
16_SimilarImage.jpg,21_TestImage.jpg,0.022748107,32.86109451,0.339060543,0.745822315,0.009126972,89.22632536,45.61139538
21_TestImage.jpg,16_SimilarImage.jpg,0.022748107,32.86109451,0.339060543,0.745822315,0.009126972,89.22632536,43.25010521
12_Rotated.jpg,18_SimilarImage.jpg,0.022982741,32.77196411,0.348680447,0.646847503,0.0033896,88.28885738,43.56351854
18_SimilarImage.jpg,12_Rotated.jpg,0.022982741,32.77196411,0.348680447,0.646847503,0.0033896,88.28885738,41.18891077
08_Grayscaled.jpg,17_SimilarImage.jpg,0.022996882,32.76662115,0.359026286,0.666417382,0.003648698,87.65158932,43.68644984
17_SimilarImage.jpg,08_Grayscaled.jpg,0.022996882,32.76662115,0.359026286,0.666417382,0.003648698,87.65158932,40.91079119
